Time [s],Event,Latitude [N],Longitude [E],Altitude [km],Relative Velocity [km/s]
0,S200 IG,,,,
101.3,-,13.654,80.436,34.3,1.1
101.5,-,13.653,80.44,34.7,1.2
102,-,13.652,80.444,35.1,1.2
103,-,13.649,80.452,35.9,1.2
104,-,13.647,80.46,36.6,1.2
105,-,13.644,80.468,37.4,1.2
106,-,13.642,80.477,38.2,1.3
107,-,13.639,80.485,39,1.3
109,-,13.633,80.503,40.6,1.3
111,-,13.627,80.522,42.3,1.4
112,-,13.624,80.531,43.1,1.4
112.5,L110 IG,13.623,80.536,43.5,1.4
114,-,13.618,80.551,44.8,1.4
116,-,13.611,80.571,46.5,1.5
117,-,13.608,80.581,47.4,1.5
123,-,13.587,80.645,52.6,1.5
125,-,13.58,80.668,54.3,1.6
127,-,13.573,80.691,56,1.6
129,-,13.565,80.714,57.7,1.6
130,-,13.562,80.726,58.6,1.6
132,-,13.554,80.749,60.3,1.6
136,S200 SEP,13.538,80.796,63.6,1.6
138,-,13.531,80.821,65.2,
139,-,13.527,80.833,66,
145,-,13.502,80.908,70.8,
147,-,13.494,80.934,,
153.8,-,,,78.1,1.75
